"Ano","Quantidade de Contribuintes","Número Médio Mensal Contrib","Valor  das Remunerações R$","Faixa de Idade","Estatística Pessoa Física","Sexo"
"2007","27724","23411,75","294943826,79","Ignorada","Quantidade de Contribuintes","Masculino"
"2007","15675","13274,92","122610597,31","Ignorada","Quantidade de Contribuintes","Feminino"
"2007","1817588","1150083,75","9683293988,09","Ignorada","Quantidade de Contribuintes","Ignorado"
"2008","1309481","724236,75","5005419371,07","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2008","920677","494898,83","3187035458,08","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2008","8868","2138,42","11506183,50","Até 19 anos","Quantidade de Contribuintes","Ignorado"
"2008","4681881","3138209,75","30692029817,81","20 a 24 anos","Quantidade de Contribuintes","Masculino"
"2008","3266594","2165540,83","18648867217,78","20 a 24 anos","Quantidade de Contribuintes","Feminino"
"2008","23800","7719,75","52734566,27","20 a 24 anos","Quantidade de Contribuintes","Ignorado"
"2008","5490732","4031545,83","54203490768,25","25 a 29 anos","Quantidade de Contribuintes","Masculino"
"2008","3935348","2861833,00","33098426746,84","25 a 29 anos","Quantidade de Contribuintes","Feminino"
"2008","15354","3969,17","33701373,56","25 a 29 anos","Quantidade de Contribuintes","Ignorado"
"2008","4654412","3531260,83","56796534869,75","30 a 34 anos","Quantidade de Contribuintes","Masculino"
"2008","3302242","2483612,17","31926082377,38","30 a 34 anos","Quantidade de Contribuintes","Feminino"
"2008","12051","3943,50","42478615,33","30 a 34 anos","Quantidade de Contribuintes","Ignorado"
"2008","3847589","2962513,33","52589502153,13","35 a 39 anos","Quantidade de Contribuintes","Masculino"
"2008","2777808","2129953,33","27504120821,59","35 a 39 anos","Quantidade de Contribuintes","Feminino"
"2008","9862","3563,83","37601164,36","35 a 39 anos","Quantidade de Contribuintes","Ignorado"
"2008","3399599","2653932,75","51852015332,44","40 a 44 anos","Quantidade de Contribuintes","Masculino"
"2008","2494648","1946786,00","25303323159,06","40 a 44 anos","Quantidade de Contribuintes","Feminino"
"2008","7772","2786,67","26942459,04","40 a 44 anos","Quantidade de Contribuintes","Ignorado"
"2008","2799725","2203297,75","47392603288,13","45 a 49 anos","Quantidade de Contribuintes","Masculino"
"2008","2067100","1624258,92","21551041569,38","45 a 49 anos","Quantidade de Contribuintes","Feminino"
"2008","5710","2167,50","20339915,63","45 a 49 anos","Quantidade de Contribuintes","Ignorado"
"2008","2127262","1666790,42","37801501622,38","50 a 54 anos","Quantidade de Contribuintes","Masculino"
"2008","1518941","1190077,33","15106863385,66","50 a 54 anos","Quantidade de Contribuintes","Feminino"
"2008","3860","1631,67","16066550,99","50 a 54 anos","Quantidade de Contribuintes","Ignorado"
"2008","1336274","1026360,00","21947247404,72","55 a 59 anos","Quantidade de Contribuintes","Masculino"
"2008","979411","770988,58","8717456300,05","55 a 59 anos","Quantidade de Contribuintes","Feminino"
